"sex","weight"
"male",6.89312127168078
"male",7.50670788594911
"male",7.53594241406882
"male",7.24570733226802
"male",6.98131329477377
"male",6.87673213259002
"male",7.45437770515845
"male",6.74414298573586
"male",7.31245733328898
"male",6.7803382915403
"male",7.10306411274209
"male",7.69126392482006
"male",7.64812739649192
"male",7.83322666867375
"male",7.16889231921099
"male",7.47720664612603
"male",6.89099566564054
"male",7.06672482150756
"male",6.92076898651877
"male",7.91154654472528
"male",8.63001975334791
"male",7.0603451258373
"male",7.33186570717629
"male",8.24641451857464
"male",7.81323191450345
"male",6.72171678992876
"male",6.952853155749
"male",7.39100469060866
"male",7.59188484208019
"male",7.31402191368879
"male",7.28404651572885
"male",7.11550049665976
"male",6.92855396413116
"male",8.62066249562115
"male",7.06214392859634
"male",7.50424811441323
"male",8.83067922719788
"male",8.42705829595059
"male",7.40523997460998
"male",8.44738891070386
"male",7.42600863304771
"male",7.57560833700548
"male",7.07651104038741
"male",7.22968360078083
"male",7.45761386532833
"male",7.9028699400055
"male",8.32274606798464
"male",7.78331400709418
"male",7.40511068116159
"male",7.06787496934401
"male",7.35763909122517
"male",7.21553483693614
"male",7.83937291811226
"male",8.09823824616739
"male",7.72927440142213
"male",7.68666614424643
"male",7.46199547043911
"male",6.95978273778223
"male",7.09173852495214
"male",6.76026307799202
"male",7.35615872384491
"male",7.62339370350562
"male",8.04489177688142
"male",7.59822418670253
"male",7.44127083411333
"male",7.37569194818783
"male",6.95369781337156
"male",7.04176626057606
"male",8.12245568818621
"male",7.32537468574301
"male",6.98963605718722
"male",7.87763688597494
"male",7.19523259422551
"male",7.45940352889545
"male",6.83270867633565
"male",7.36593237461763
"male",7.04093339488109
"male",7.76847213850859
"male",7.06924535029819
"male",7.07127727432366
"male",6.95968673453287
"male",8.16878178511072
"male",8.10044097356895
"male",7.69230566229006
"male",8.11616641099201
"male",7.11261550453982
"male",8.23931031108318
"male",7.89743847002707
"male",8.25458740532035
"male",6.96888421104018
"male",8.33218404191471
"male",7.77123537351967
"male",8.77297515885968
"male",7.35964869806866
"male",7.3457589740758
"male",7.29994892055516
"male",7.4147715188087
"male",6.44058004250187
"male",7.5507091015074
"male",6.80569472228119
"male",7.04903008521446
"male",7.59123656983054
"male",7.28261464574444
"male",7.14946297650763
"male",6.85329479473578
"male",7.47599065888792
"male",8.10748912713192
"male",7.21249103954321
"male",7.36524982734801
"male",6.86025052093703
"male",7.67822743123347
"male",8.6556561718253
"male",7.85829309350037
"male",8.19110074108431
"male",7.82578690600076
"male",7.09596758291483
"male",6.82050407553616
"male",7.52916146744173
"male",8.67550322216026
"male",7.16277099380874
"male",7.93890695902838
"male",7.37380393843839
"male",7.64280916404098
"male",6.91970112478922
"male",7.75853242207807
"male",7.94712576465709
"male",8.16838675310506
"male",7.23951791176231
"male",7.66081660839277
"male",6.80997227495627
"male",6.81815211673943
"male",7.17687914597638
"male",7.54629392428889
"male",7.00185966684661
"male",7.56368735396923
"male",7.48852795913384
"male",7.83991106242147
"male",7.48274976443043
"male",7.21842319245614
"male",6.77843753990629
"male",7.51760715399216
"male",7.67288947065053
"male",7.95320509630397
"male",7.71392975622987
"male",7.74739722847932
"male",7.92065695233627
"male",7.73804932838739
"male",7.51121930492936
"male",7.57591918015603
"male",7.5371431301638
