"sex","weight"
"male",6.86025052093703
"male",7.59123656983054
"male",7.13988624379282
"male",7.09596758291483
"male",7.59143831164792
"male",6.98131329477377
"male",7.54244848490123
"male",7.93890695902838
"male",7.15899866119382
"male",7.13140956181507
"male",7.62339370350562
"male",7.53464080950441
"male",7.21842319245614
"male",8.33218404191471
"male",8.09823824616739
"male",8.16878178511072
"male",7.90698382037352
"male",6.89099566564054
"male",8.55793802526044
"male",8.0747070541585
"male",7.09902676407549
"male",7.76847213850859
"male",8.24641451857464
"male",7.13988624379282
"male",7.59822418670253
"male",7.45940352889545
"male",8.62066249562115
"male",8.30270124238337
"male",8.16838675310506
"male",7.35615872384491
"female",5.78256805440373
"female",6.10702924021788
"female",5.72288261897529
"female",6.04740701226884
"female",6.08821344040898
"female",6.30311012141785
"female",5.64795146757601
"female",7.19899997531006
"female",6.44506639075895
"female",6.50331206980711
"female",6.10479381094601
"female",5.6528768112434
"female",5.18382814706264
"female",6.13117961727503
"female",5.61150617758966
"female",5.41925415884547
"female",6.1365997274941
"female",6.0528627028584
"female",6.16008290946842
"female",5.18382814706264
"female",5.34396409419949
"female",6.30311012141785
"female",6.17664201191655
"female",5.64795146757601
"female",5.62387345231431
"female",6.16825035131488
"female",5.01102586558961
"female",6.16825035131488
"female",6.16008290946842
"female",5.41925415884547
"female",6.16825035131488
"female",6.96729182144546
"female",6.34254520877713
"female",5.98470928297876
"female",5.98470928297876
"female",5.98470928297876
"female",5.50679097879124
"female",6.15486633055149
"female",5.45676160562423
"female",5.74342315426219
"female",4.68008364118387
"female",6.00781174386694
"female",6.32403958230822
"female",6.02796721063277
"female",6.03186136973292
"female",6.51897731736685
"female",5.71775558785602
"female",5.71764156970303
"female",6.19860420716366
"female",4.92823778573112
"female",6.32471814548289
"female",6.02901313492504
"female",6.17664201191655
"female",5.34396409419949
"female",6.52895724166909
"female",5.22272313282615
"female",5.70604351618818
"female",6.36862160335587
"female",5.22272313282615
"female",6.44506639075895
"female",6.82049160315976
"female",5.86720081005775
"female",5.90854338781744
"female",6.82176261668087
"female",5.63465231218813
"female",5.31948688003162
"female",5.33525838102467
"female",6.32545328977969
"female",6.07094599821739
"female",6.29481982713621
"female",6.86057971240906
"female",5.62907136021091
"female",5.93125675129582
"female",5.53983318971672
"female",4.78362330987404
"female",6.22485158164064
"female",4.95781253351618
"female",6.51553950088284
"female",6.27814666607047
"female",5.4538426696517
"female",5.92805254274627
"female",6.04740701226884
"female",6.05423370035214
"female",6.34101272328033
"female",6.32471814548289
"female",5.57156723282479
"female",6.41029111581813
"female",6.99838538581665
"female",5.90854338781744
"female",4.95781253351618
"female",6.71878852838232
"female",6.00853938496631
"female",5.66126512979653
"female",5.71775558785602
"female",5.98470928297876
"female",6.02901313492504
"female",4.84444796039316
"female",5.56578269370405
"female",5.40664054632096
"female",5.90988967269928
"female",6.00475084318569
"female",6.5065379391521
"female",5.43293061033902
"female",5.65894756780624
"female",5.18435807394579
"female",6.46008335825356
"female",5.55593589970762
"female",6.41029111581813
"female",5.82273181365012
"female",5.84519100135225
"female",6.00268933533892
"female",6.51897731736685
"female",5.31948688003162
"female",7.12066435554812
"female",5.86720081005775
"female",5.51291248512356
"female",5.10795748099319
"female",5.41925415884547
"female",5.50679097879124
"female",6.10702924021788
